A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,Class 
0,0,0,0,0,0,1,1,0,1,No
1,1,0,0,0,1,1,0,0,0,Yes
1,0,0,0,0,0,1,1,0,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,1,1,1,1,1,1,1,Yes
1,1,0,0,1,1,1,1,1,1,Yes
1,0,0,1,1,1,0,0,1,0,Yes
0,1,0,0,1,0,1,1,1,1,Yes
0,0,0,0,0,0,1,0,0,1,No
1,1,1,0,1,1,0,1,1,1,Yes
1,0,0,1,0,1,1,0,1,1,Yes
1,1,1,1,0,1,1,1,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,1,1,0,0,1,0,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,1,0,1,0,1,1,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,1,0,1,1,1,1,0,1,Yes
1,0,0,0,1,0,0,0,0,1,No
1,1,1,0,1,0,1,1,0,1,Yes
1,0,0,1,1,1,1,1,1,0,Yes
1,0,1,1,1,1,1,0,1,0,Yes
1,0,1,1,0,1,0,1,1,1,Yes
1,1,1,0,1,1,0,1,1,0,Yes
1,1,1,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,0,1,1,1,1,1,0,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,1,1,1,0,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,No
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,1,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,1,1,0,1,1,0,1,1,Yes
1,0,0,0,0,1,1,0,1,1,Yes
0,0,0,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,1,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
1,1,0,0,1,1,1,1,1,1,Yes
0,0,1,1,1,1,1,0,0,0,Yes
0,0,1,1,0,0,0,0,1,0,No
1,1,1,1,1,1,1,0,1,1,Yes
0,0,0,0,1,0,1,1,0,1,Yes
0,0,0,0,0,0,0,1,0,0,No
1,0,1,0,0,0,0,0,0,0,No
1,0,1,1,1,1,1,0,1,1,Yes
1,1,0,0,1,1,1,1,0,0,Yes
0,0,1,1,1,1,1,0,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,1,0,0,No
1,1,0,0,1,0,1,0,0,0,Yes
1,0,0,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
1,0,0,0,0,0,0,1,0,1,No
0,1,0,0,0,0,0,0,0,1,No
1,0,1,1,0,1,1,1,1,0,Yes
1,1,0,1,1,1,1,1,0,1,Yes
1,0,1,1,0,1,1,1,1,0,Yes
1,1,0,1,0,1,1,0,0,1,Yes
0,0,0,1,1,1,0,0,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,1,0,0,1,0,0,1,No
1,0,0,0,1,0,1,0,1,0,Yes
1,1,1,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
1,0,0,0,0,0,1,0,0,1,No
1,1,0,0,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,1,0,0,No
0,0,0,1,0,0,1,1,1,1,Yes
0,1,0,0,0,0,0,0,0,1,No
1,0,1,1,1,1,1,0,1,1,Yes
1,0,0,0,1,0,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,1,1,0,0,0,0,0,0,No
0,0,0,0,0,1,1,1,0,1,Yes
1,0,0,1,0,1,1,0,0,1,Yes
1,1,0,0,0,0,0,1,1,0,Yes
1,1,0,0,0,1,0,0,0,1,Yes
1,1,1,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
1,1,0,0,1,1,0,1,0,1,Yes
1,1,0,0,1,1,1,1,0,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,1,0,1,0,0,0,No
0,1,0,0,0,0,1,1,0,1,Yes
0,0,0,0,0,0,1,1,0,0,No
0,0,0,0,0,0,1,1,0,0,No
1,1,0,0,1,1,1,0,1,1,Yes
0,0,1,1,1,1,1,1,1,1,Yes
0,0,1,1,0,0,1,0,0,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,0,1,0,0,0,0,No
1,1,0,1,1,1,0,0,0,1,Yes
0,1,0,1,1,0,1,0,0,1,Yes
0,1,0,0,0,1,1,1,0,1,Yes
0,0,0,0,0,0,0,1,0,0,No
0,0,0,0,0,1,0,0,0,0,No
1,1,0,1,1,1,1,0,1,1,Yes
1,0,0,0,1,0,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,1,1,1,1,1,0,0,1,Yes
1,1,0,1,1,1,1,0,0,1,Yes
1,1,1,0,1,1,1,0,0,1,Yes
1,0,1,1,1,0,0,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,0,0,0,1,0,0,0,0,0,No
1,1,0,0,1,0,0,1,0,0,Yes
0,0,0,0,1,0,0,0,0,0,No
1,1,1,1,1,1,1,1,1,1,Yes
0,0,1,1,1,0,0,0,1,0,Yes
1,1,1,1,1,1,1,1,1,0,Yes
1,1,0,0,0,0,0,1,1,0,Yes
1,1,1,1,1,1,1,1,1,0,Yes
1,1,0,1,1,0,1,0,1,1,Yes
1,1,0,0,0,1,0,1,0,1,Yes
0,1,0,0,0,0,1,0,0,1,No
0,0,0,0,1,1,1,0,0,0,No
1,1,1,1,1,1,1,1,1,0,Yes
1,1,0,1,1,1,0,1,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,1,0,0,0,No
1,0,0,0,0,0,0,1,0,0,No
0,0,0,0,0,0,0,1,0,1,No
0,1,0,1,0,0,1,0,0,1,Yes
0,0,0,1,0,0,1,0,0,1,No
1,1,1,1,1,1,1,1,1,0,Yes
1,1,0,1,0,0,1,0,0,1,Yes
1,1,0,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,0,1,1,Yes
0,0,1,1,1,1,0,1,1,0,Yes
0,1,1,1,0,1,0,1,0,1,Yes
0,1,1,1,0,1,1,1,1,1,Yes
0,1,0,1,1,1,1,1,1,1,Yes
1,0,1,1,1,1,0,0,1,0,Yes
1,1,1,1,1,1,1,0,1,1,Yes
0,0,0,0,1,1,1,0,0,0,No
0,0,0,0,0,0,1,0,0,0,No
0,0,0,0,0,0,0,0,0,1,No
0,1,0,0,0,0,1,0,0,1,No
0,0,0,0,0,0,1,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,0,0,1,1,1,0,0,0,0,No
0,1,1,1,1,0,1,0,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,1,0,0,0,0,0,0,0,1,No
0,1,0,0,0,0,0,0,0,1,No
1,0,0,0,1,1,0,1,0,1,Yes
0,0,1,0,1,0,0,0,0,1,No
0,0,1,0,0,1,0,0,0,0,No
1,0,1,0,0,1,0,0,0,0,No
1,0,1,0,0,1,0,0,0,0,No
0,1,0,1,0,1,1,1,0,0,Yes
0,0,0,1,0,0,0,0,0,0,No
1,0,0,0,0,1,0,0,1,0,No
1,0,1,1,0,0,0,0,0,0,No
1,0,1,1,1,1,1,1,1,1,Yes
0,0,0,0,1,0,1,0,1,1,Yes
1,0,1,1,1,1,1,1,1,1,Yes
1,1,0,0,0,0,0,0,0,1,No
0,1,0,0,0,0,0,0,0,1,No
1,1,0,0,0,0,0,0,0,1,No
1,0,0,0,1,1,1,0,0,1,Yes
0,0,0,0,0,0,1,1,0,1,No
1,1,0,0,0,0,1,0,0,1,Yes
0,0,0,1,0,0,0,0,0,0,No
1,0,0,1,0,1,0,0,0,0,No
1,1,1,1,0,1,1,0,1,1,Yes
1,1,0,1,0,1,1,0,1,0,Yes
1,1,0,0,0,1,1,1,1,1,Yes
1,0,1,1,1,1,1,0,1,1,Yes
0,1,1,0,1,0,1,0,0,1,Yes
1,1,1,1,1,1,1,1,0,1,Yes
1,1,1,1,0,1,1,1,1,1,Yes
1,0,1,1,1,1,1,0,0,1,Yes
1,0,0,0,0,0,1,1,0,1,Yes
1,1,1,1,0,1,1,1,0,0,Yes
1,1,0,0,0,0,1,0,0,1,Yes
1,1,1,1,1,1,1,0,1,1,Yes
0,0,0,1,1,1,1,1,0,0,Yes
0,1,0,1,0,1,0,0,0,0,No
0,0,0,0,1,0,0,0,0,1,No
0,1,1,1,0,0,0,0,0,0,No
1,1,0,0,1,1,1,1,1,0,Yes
0,1,0,0,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,1,1,1,1,Yes
0,0,0,1,0,0,0,1,0,1,No
0,0,0,0,0,1,0,0,1,1,No
1,1,1,1,1,1,1,0,1,1,Yes
0,1,0,1,1,1,1,1,0,1,Yes
0,1,1,1,1,1,1,1,0,1,Yes
1,1,1,1,0,0,1,0,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
1,1,0,0,0,0,0,1,0,1,Yes
1,1,1,1,1,1,1,1,1,0,Yes
1,1,1,1,1,1,1,1,0,1,Yes
0,0,0,0,1,0,1,1,0,1,Yes
1,1,0,1,0,0,1,1,1,1,Yes
1,0,0,1,1,0,1,1,1,1,Yes
1,1,0,1,1,1,1,1,1,1,Yes
1,0,0,0,1,1,1,0,1,0,Yes
1,0,0,0,0,1,1,0,1,1,Yes
1,0,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,1,0,1,1,0,0,0,1,0,Yes
0,0,0,1,1,1,1,1,0,1,Yes
0,0,0,0,0,0,1,0,0,1,No
1,1,1,1,0,0,1,1,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,0,0,0,1,1,1,1,0,0,Yes
0,0,0,0,0,1,1,1,0,0,No
1,1,1,1,1,1,1,1,1,1,Yes
0,1,1,1,1,1,0,1,1,0,Yes
1,0,1,1,1,1,0,1,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
1,1,1,0,1,1,0,0,1,0,Yes
0,1,1,1,1,0,1,1,1,1,Yes
1,0,0,1,1,1,0,0,1,1,Yes
1,1,1,0,0,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,1,1,0,0,0,0,No
1,1,0,1,1,1,1,1,1,1,Yes
0,0,0,0,1,0,1,1,1,0,Yes
0,0,0,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,0,0,Yes
1,1,1,1,1,1,1,1,0,1,Yes
1,1,1,1,1,1,1,1,0,1,Yes
1,0,1,1,1,0,1,1,1,1,Yes
0,1,0,0,0,0,0,1,0,0,No
1,1,0,0,1,1,1,0,1,1,Yes
1,0,0,0,0,1,1,0,0,0,No
1,1,1,0,0,1,1,0,1,1,Yes
1,1,1,1,1,1,1,1,1,0,Yes
1,0,1,1,0,1,0,0,1,0,Yes
1,0,1,1,0,1,0,0,0,0,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,1,1,1,1,1,1,1,0,Yes
0,0,0,0,1,1,1,0,0,0,No
0,1,0,0,1,1,1,1,0,1,Yes
0,0,0,1,1,1,1,1,0,0,Yes
1,0,1,1,0,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,0,1,0,0,1,0,0,1,Yes
1,0,1,0,0,1,0,0,0,0,No
1,0,1,0,0,1,0,0,0,0,No
1,1,0,1,1,1,1,0,1,1,Yes
1,1,0,0,0,1,1,0,1,0,Yes
0,1,0,1,1,1,1,1,1,0,Yes
0,1,0,1,1,1,0,1,1,1,Yes
0,0,0,0,0,0,0,0,0,1,No
1,1,1,1,1,1,1,1,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,0,Yes
1,1,0,1,1,1,1,0,0,1,Yes
1,1,1,1,1,1,1,0,1,1,Yes
1,1,0,0,1,1,1,1,1,1,Yes
1,1,0,0,0,0,0,0,0,1,No
0,0,0,0,1,1,1,0,0,1,Yes
0,0,1,1,1,1,1,0,1,1,Yes
1,1,0,0,0,0,1,0,1,0,Yes
1,1,0,0,0,1,1,0,0,1,Yes
0,0,0,0,0,0,1,0,0,0,No
1,0,0,1,1,0,1,0,1,1,Yes
0,0,0,1,0,1,1,0,1,0,Yes
1,1,0,0,0,1,1,1,1,0,Yes
0,1,0,0,1,1,1,0,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,0,0,0,1,0,0,0,0,1,No
1,1,1,1,0,1,1,1,1,0,Yes
1,1,1,1,1,1,1,0,1,1,Yes
1,1,1,1,0,1,1,1,0,1,Yes
1,1,0,1,1,0,1,1,1,1,Yes
1,0,1,1,1,1,1,1,1,1,Yes
1,1,0,1,1,0,1,1,1,0,Yes
1,1,1,1,1,1,1,0,1,0,Yes
1,0,1,1,0,1,1,1,1,0,Yes
0,0,0,0,0,0,0,1,0,0,No
0,0,0,0,1,1,1,0,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,1,1,1,0,0,0,Yes
1,1,1,0,1,0,0,0,1,0,Yes
0,0,0,0,1,1,1,1,1,1,Yes
1,0,0,0,1,1,1,0,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,1,0,1,1,1,1,1,0,Yes
0,0,1,0,1,0,1,1,1,1,Yes
0,0,1,1,1,1,1,0,1,1,Yes
0,1,0,1,0,1,1,1,1,1,Yes
1,1,0,1,0,0,0,1,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
0,1,0,0,1,1,1,0,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,1,0,1,0,0,0,Yes
1,1,0,0,0,1,1,0,1,0,Yes
1,0,0,1,0,1,0,0,0,0,No
0,1,1,1,1,1,0,1,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
1,0,1,1,1,0,1,0,0,0,Yes
0,0,1,1,1,1,1,1,1,0,Yes
1,1,1,1,1,0,0,0,0,1,Yes
0,1,1,1,1,0,1,0,1,0,Yes
1,0,0,0,0,1,1,1,0,1,Yes
0,1,1,1,0,0,0,1,0,0,Yes
0,1,0,1,0,0,0,0,0,0,No
0,0,0,1,0,0,0,1,0,0,No
0,0,0,1,0,0,0,0,0,0,No
1,1,1,1,1,1,1,1,1,1,Yes
1,0,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,1,1,0,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,0,1,1,1,1,Yes
0,1,0,0,1,1,1,1,1,0,Yes
0,0,0,0,1,1,1,1,1,1,Yes
1,1,0,0,1,0,1,1,0,0,Yes
1,1,0,0,1,0,1,1,1,0,Yes
0,1,0,0,0,1,1,0,1,0,Yes
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,1,No
0,0,0,0,0,0,0,0,0,0,No
1,0,1,1,1,1,0,1,0,0,Yes
0,0,1,1,0,0,0,0,0,0,No
1,1,1,1,1,1,1,1,0,0,Yes
1,1,0,0,1,1,1,0,1,1,Yes
1,1,0,1,1,1,1,0,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,1,1,1,1,0,0,0,Yes
1,1,1,0,1,1,1,1,1,0,Yes
1,0,1,1,1,0,0,0,1,0,Yes
1,1,0,0,1,1,1,1,0,1,Yes
1,1,1,1,1,1,1,1,0,1,Yes
0,0,1,1,0,0,0,0,0,0,No
1,1,1,1,1,1,0,1,1,1,Yes
1,1,1,1,1,1,0,1,1,1,Yes
1,1,0,0,0,1,1,1,1,1,Yes
1,1,0,1,0,1,1,0,0,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,1,0,1,1,0,1,0,Yes
0,0,1,1,1,0,1,0,1,0,Yes
0,0,1,1,1,1,0,0,1,0,Yes
0,0,0,0,0,1,0,0,0,1,No
0,0,0,1,1,0,1,0,0,1,Yes
1,1,1,1,0,1,1,1,0,1,Yes
1,0,0,1,1,1,1,0,1,0,Yes
0,0,0,1,0,0,1,0,1,1,Yes
1,0,0,0,0,0,1,0,0,1,No
1,0,0,0,0,1,1,0,0,1,Yes
1,1,1,1,0,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,1,0,0,0,0,No
0,0,0,0,0,1,1,0,0,1,No
0,0,0,1,0,1,1,0,0,1,Yes
1,1,0,0,1,1,0,1,1,1,Yes
0,0,1,1,0,0,0,1,0,1,Yes
0,0,0,0,1,0,1,0,0,1,No
1,0,0,0,0,1,0,1,0,0,No
1,1,1,1,1,0,1,1,1,1,Yes
1,1,0,0,0,0,1,1,0,1,Yes
1,1,0,1,1,1,1,0,0,1,Yes
0,0,0,0,0,1,1,1,0,1,Yes
1,1,0,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
0,1,1,0,0,1,0,0,1,1,Yes
1,0,0,0,1,1,0,1,0,1,Yes
0,0,0,0,1,1,1,0,0,1,Yes
1,0,0,1,1,1,1,0,1,1,Yes
1,1,1,1,1,1,1,1,0,1,Yes
0,1,0,0,0,0,0,0,0,1,No
1,1,0,1,1,1,1,0,1,0,Yes
1,1,1,1,1,1,0,1,1,1,Yes
0,0,1,1,1,1,1,1,1,0,Yes
0,0,1,1,1,1,1,1,1,0,Yes
0,0,0,0,0,0,0,0,0,0,No
1,0,1,0,1,1,0,1,1,0,Yes
0,0,0,1,0,0,1,1,0,1,Yes
1,1,1,1,1,1,1,0,1,0,Yes
1,1,1,1,1,1,1,1,1,0,Yes
0,0,0,0,1,1,1,1,0,0,Yes
1,1,1,0,0,1,1,0,0,1,Yes
0,1,0,0,0,0,0,0,0,1,No
1,1,0,0,0,0,0,1,0,1,Yes
0,0,0,0,0,0,0,0,0,1,No
0,1,1,1,1,1,1,0,1,1,Yes
1,0,0,0,1,1,1,1,0,0,Yes
0,0,0,0,0,0,1,1,1,0,No
1,1,0,0,1,1,1,1,1,1,Yes
1,0,0,1,1,1,0,0,1,1,Yes
0,0,0,1,0,1,1,1,1,0,Yes
0,0,1,0,1,0,0,1,0,0,No
0,0,0,1,1,0,0,1,0,0,No
1,1,0,1,0,0,1,1,1,1,Yes
1,1,1,1,0,1,1,0,1,0,Yes
1,0,0,0,0,1,1,1,0,1,Yes
1,0,0,0,0,0,1,0,1,1,Yes
0,0,1,1,0,0,1,0,1,0,Yes
0,0,0,0,0,0,1,0,0,1,No
1,1,0,1,1,1,1,1,1,1,Yes
0,1,0,0,0,0,1,0,0,0,No
1,1,1,1,0,1,1,1,1,1,Yes
1,1,1,1,0,1,0,1,1,1,Yes
1,0,0,0,0,0,1,1,1,1,Yes
1,0,0,0,0,0,1,0,0,1,No
1,1,0,0,0,1,0,0,1,0,Yes
0,0,1,1,0,0,1,1,0,1,Yes
1,1,0,1,0,1,1,0,0,1,Yes
1,1,0,1,0,1,1,0,1,1,Yes
1,1,0,1,0,1,1,0,1,1,Yes
1,1,0,0,1,1,1,1,1,1,Yes
1,0,0,0,1,0,1,1,1,1,Yes
1,1,0,1,1,0,1,0,0,0,Yes
1,1,0,1,1,1,1,0,0,0,Yes
1,0,0,0,1,0,1,0,0,0,No
0,0,0,0,0,0,0,0,0,0,No
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,1,1,1,0,0,1,Yes
1,0,1,1,1,1,0,1,1,0,Yes
0,0,1,1,1,1,1,1,1,1,Yes
1,0,0,0,1,1,1,0,0,0,Yes
1,1,0,0,1,1,1,0,1,1,Yes
1,0,0,1,1,1,1,1,1,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,0,1,1,1,1,0,1,1,1,Yes
1,0,1,0,0,1,0,1,0,0,Yes
1,0,0,0,0,1,0,0,0,0,No
1,0,0,0,0,1,0,0,0,0,No
0,0,0,1,0,0,1,0,1,1,Yes
0,0,0,0,0,0,0,0,1,0,No
0,1,0,0,0,0,1,0,0,0,No
1,1,1,1,1,1,1,0,1,0,Yes
0,0,1,0,0,1,1,1,1,1,Yes
1,1,0,1,1,1,1,0,0,1,Yes
0,0,1,1,1,0,1,1,1,1,Yes
0,0,0,0,0,0,1,0,0,1,No
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,1,1,0,1,0,0,1,Yes
1,1,0,1,0,0,1,0,0,0,Yes
1,1,1,1,0,1,1,1,1,1,Yes
1,0,0,0,0,0,0,0,0,0,No
1,0,1,0,0,1,0,0,0,0,No
1,0,1,1,0,0,0,0,0,0,No
0,0,1,1,0,1,0,0,1,0,Yes
0,0,1,1,0,0,0,0,0,0,No
1,0,1,1,1,1,1,1,1,1,Yes
0,0,1,1,1,0,1,1,0,0,Yes
1,1,0,0,0,1,0,0,0,1,Yes
0,0,0,0,0,0,0,0,0,0,No
1,1,1,1,1,1,1,1,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,0,0,0,1,1,1,1,1,1,Yes
1,0,0,0,0,1,1,1,1,1,Yes
1,1,1,1,1,1,1,0,1,1,Yes
1,1,0,1,0,1,1,1,1,0,Yes
1,1,1,1,1,1,0,0,1,1,Yes
1,1,1,1,1,1,1,0,1,1,Yes
1,0,0,0,1,1,1,1,1,0,Yes
0,0,0,0,0,1,0,0,0,1,No
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,0,0,1,1,0,1,0,1,1,Yes
0,0,0,0,0,0,1,0,0,0,No
0,1,1,1,1,1,0,1,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,1,0,1,1,0,0,0,No
1,1,1,1,1,0,1,1,1,0,Yes
1,0,0,1,1,1,0,0,0,1,Yes
1,0,0,0,1,1,1,1,1,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,0,0,1,0,0,0,0,1,Yes
0,1,1,1,1,1,1,0,1,1,Yes
1,1,0,1,1,1,0,1,1,0,Yes
1,0,1,0,1,0,0,0,0,0,No
0,1,1,0,0,0,0,1,0,1,Yes
0,1,0,1,0,1,0,0,1,0,Yes
0,1,0,1,0,1,0,0,1,0,Yes
0,0,0,0,1,0,0,0,0,1,No
0,0,0,0,1,1,1,1,0,1,Yes
0,0,0,0,1,1,1,1,1,1,Yes
1,1,1,1,0,1,1,0,1,1,Yes
1,0,0,0,0,0,0,0,0,1,No
1,0,0,0,1,1,1,0,0,0,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,0,1,0,0,0,0,0,0,0,No
1,0,1,0,0,0,0,0,0,0,No
1,1,0,0,0,1,1,0,0,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
1,1,1,0,1,1,1,1,0,1,Yes
1,1,0,0,0,0,1,0,0,1,Yes
0,0,1,1,1,0,0,1,1,0,Yes
1,1,1,1,0,0,1,1,1,1,Yes
1,0,1,1,1,1,1,0,1,1,Yes
1,1,1,1,1,1,1,1,1,1,Yes
0,0,0,1,1,1,0,1,1,0,Yes
